Gene,GSM158635,GSM158636,GSM158637,GSM158638,GSM158639,GSM158640,GSM158641,GSM158642,GSM158643
NACA2,53.0,52.0,37.0,44.0,53.0,54.6666667,35.3333333,74.0,65.0
NACAD,58.0,12.0,85.0,12.0,112.6666667,118.6666667,89.33333329999998,168.66666669999995,64.0
NACC2,2087.0,1172.0,2511.0,2079.0,1657.333333,646.3333332999998,2106.0,1661.0,953.3333332999997
NADK,2463.0,2605.0,5350.0,5644.0,2062.0,2700.0,3105.333333,1374.333333,1208.333333
NADSYN1,431.0,290.0,790.0,356.0,588.6666667000002,192.3333333,320.6666667,139.66666669999998,248.3333333
NAE1,1445.0,1456.0,1358.0,2979.0,2906.0,6610.0,2594.0,4308.0,3774.0
NAGA,1535.0,1223.0,1417.0,1113.0,1865.666667,916.3333332999997,1091.0,660.6666667000002,923.0
NAGK,1282.0,1205.0,1540.0,251.0,3001.0,2913.0,1480.666667,1539.0,1215.333333
NAGLU,103.0,68.0,364.0,273.0,373.6666667,174.33333330000005,122.6666667,102.0,125.3333333
NAGPA,258.0,87.0,186.0,133.0,451.33333330000005,440.0,176.33333330000005,37.6666667,56.0
NAIP,393.0,449.0,924.0,507.0,283.6666667,276.6666667,-15.0,-1.3333333,-13.3333333
NAMPT,1972.0,693.0,10836.0,9280.0,4175.666667,3093.666667,17739.0,16857.33333,4870.333333
NANOG,35.0,-35.0,35.0,41.0,-97.0,-81.66666670000002,-108.3333333,-93.0,-9.6666667
NANS,3541.0,4870.0,6295.0,6830.0,2039.333333,1469.0,4605.666667,3077.333333,2143.666667
NAP1L1,7097.0,6590.0,5902.0,9497.0,19364.33333,12481.66667,5102.0,8024.666667,11819.33333
NAP1L2,119.0,75.0,127.0,194.0,333.6666667,195.6666667,76.0,90.0,277.6666667
NAP1L3,223.0,252.0,169.0,189.0,521.0,230.3333333,24.0,86.0,104.6666667
NAP1L4,756.0,759.0,924.0,1318.0,486.33333330000005,869.3333332999997,459.33333330000005,576.3333332999998,926.3333332999997
NAPA,1424.0,1960.0,1265.0,598.0,879.3333332999997,1296.0,653.6666667000002,405.6666667,1073.333333
NAPG,252.0,128.0,285.0,248.0,253.6666667,424.6666667,269.3333333,424.0,462.0
NARF,1474.0,1026.0,1907.0,1106.0,665.0,1173.0,741.0,689.6666667000002,493.0
NARS2,188.0,218.0,150.0,476.0,503.33333330000005,4005.333333,264.6666667,634.6666667000002,770.0
NASP,594.0,658.0,395.0,567.0,460.6666667,629.0,405.3333333,665.0,566.6666667000002
NAT1,24091.0,25461.0,6551.0,11817.0,1798.0,1156.0,2617.0,2646.333333,3749.666667
NAT10,1519.0,1661.0,1724.0,2568.0,2130.0,3040.333333,2386.333333,1827.333333,2031.333333
NAT2,77.0,142.0,202.0,91.0,111.0,120.3333333,167.66666669999995,257.6666667,111.0
NAT8,126.0,292.0,148.0,-32.0,77.0,61.6666667,28.0,97.3333333,151.66666669999995
NAT8B,-1.0,91.0,57.0,56.0,-1.6666667000000002,15.0,18.0,38.0,45.6666667
NAT9,729.0,798.0,1414.0,1297.0,561.6666667000002,615.0,986.0,700.3333332999998,746.3333332999998
NAV2,895.0,1529.0,1568.0,463.0,858.0,1231.0,1104.333333,1839.0,1613.666667
NAV3,354.0,335.0,287.0,157.0,400.3333333,466.0,310.0,227.3333333,285.6666667
NBAS,905.0,607.0,831.0,408.0,1058.333333,644.6666667000002,429.33333330000005,1044.0,762.6666667000002
NBEA,344.0,503.0,620.0,437.0,329.6666667,688.3333332999998,103.3333333,81.66666670000002,193.3333333
NBEAL1,37144.0,41093.0,50419.0,49912.0,41275.66667,34282.0,45953.33333,39977.33333,45799.33333
NBEAL2,-96.0,106.0,62.0,30.0,67.0,77.33333329999998,-49.0,-20.3333333,46.3333333
NBL1,1418.0,378.0,272.0,36.0,2461.666667,138.0,798.3333332999998,360.0,-44.3333333
NBN,5352.0,4594.0,3333.0,5773.0,2613.333333,5423.666667,4577.666667,4187.666667,11356.66667
NBPF1,9804.0,10270.0,5049.0,3997.0,4422.0,9221.666667,4348.0,4304.333333,4838.333333
NBPF10,14276.0,16624.0,16758.0,14932.0,11243.66667,13654.0,11456.0,10972.0,14397.66667
NBR1,1563.0,820.0,1023.0,993.0,5847.333333,5715.0,1110.333333,2418.333333,2026.666667
NBR2,80.0,-37.0,-26.0,110.0,16.0,159.66666669999995,172.66666669999995,167.66666669999995,35.0
NCALD,373.0,488.0,1933.0,835.0,381.3333333,1002.666667,297.6666667,445.0,467.0
NCAM1,379.0,468.0,360.0,328.0,186.6666667,214.6666667,310.6666667,270.6666667,362.0
NCAM2,46.0,354.0,256.0,136.0,85.0,185.6666667,106.6666667,152.0,183.3333333
